Gene,logFC,p
Pdlim7,3.817831683,0.016842851
Tnrc6a,-0.785173602,0.016865825
Rps9,-0.194834629,0.01688655
Psenen,0.947585919,0.016921014
Vdac3-ps1,0.108389556,0.01695812
Pkn1,0.228055608,0.016966044
Ndufa9,1.039813092,0.017000888
Vps37a,-1.638336797,0.017003922
Cant1,1.951043863,0.017007359
Tpmt,0.765652399,0.017039722
Hnrnpa3,0.802702839,0.017075653
Ccar1,-1.209162111,0.017085128
Ppp1r2,0.34384035,0.017145928
Camkk2,-0.831431177,0.017223558
37681,0.931514095,0.017247804
Map6,-0.402275713,0.017263453
Mill2,-0.754474762,0.017313712
Cdk2ap1,0.601112843,0.017347104
Gm13341,-1.098333922,0.017349846
Lztfl1,1.086685417,0.017391354
Srd5a3,0.923721824,0.017432078
Alyref2,0.963142421,0.017435556
Ptges3,-1.523402598,0.017443183
Zfp410,-1.175882022,0.017501655
Slco2b1,1.026845392,0.017527324
Nde1,1.484654163,0.017581139
Susd2,-0.381324508,0.017617352
Ecsit,3.444475571,0.017644964
2210407C18Rik,-2.206142731,0.017766526
Htt,1.673698525,0.017805913
Akr1a1,-0.271284754,0.017833848
Fut10,1.188198991,0.01790365
Vkorc1l1,-1.104987802,0.017941685
Tspan6,1.204708349,0.017978831
Gm15609,-0.837550119,0.017988238
Ccnt2,-0.275634443,0.018006915
Ap1g1,0.463918702,0.01802691
Cars,-0.152257964,0.018029755
Elf2,0.602431312,0.018050964
Rbm6,-0.28530357,0.018062468
Scrib,1.624135309,0.018065169
Wdr26,0.963496672,0.018096811
Kptn,-2.721756858,0.018106024
Notch4,0.731351443,0.018116802
Polr3g,2.533982171,0.018136956
Gm3587,1.549891528,0.018191957
Spag1,-0.733213459,0.01822826
Ncor2,-1.023030969,0.01827133
Mecr,1.024353725,0.018281517
Ccdc69,-0.993985797,0.018301021
Atg2b,-0.592665162,0.018347793
Saal1,-0.191858844,0.018397824
Pafah1b2,0.868310227,0.0184013
A830082N09Rik,2.088303669,0.018452858
Ap1g1,0.929443328,0.018530488
Chrac1,0.934650299,0.018612372
Gaa,-1.886240922,0.018633372
4632404H12Rik,-1.088325418,0.018640461
Scmh1,-0.653681076,0.018702612
Med23,0.696563565,0.018748852
Gm15265,-1.08169945,0.018760376
Engase,-0.526068812,0.018773457
Il3ra,-1.398467572,0.018775207
Csnk1d,-0.580976409,0.018802754
Fiz1,-1.002888591,0.018834673
Ddb1,1.216506133,0.018838719
Rpl15,0.966269308,0.018999829
Pcbp4,-1.924301943,0.019011706
Plekhj1,1.87857404,0.019017437
Zscan22,-0.809685329,0.019093864
Pcdh1,-1.385432545,0.019149492
4933429H19Rik,0.904220296,0.019212036
Fam49a,-0.33912371,0.019220767
Fbxw17,0.833487022,0.019240125
Lmo7,-1.155028992,0.019312525
Nxpe4,2.73795852,0.019315159
Kcnj8,1.909109917,0.019331078
Zc3h7b,-1.634952503,0.019354382
Shtn1,-1.7082135,0.019363518
Stim1,1.088171669,0.019371919
Nipa2,0.453290388,0.019384577
Nbeal2,-0.579228817,0.019413873
Ap2m1,-2.37503628,0.019454332
Ift46,1.819057157,0.019489952
Rpusd1,-0.581752944,0.01949892
Stk3,-1.590374154,0.019505416
Vps52,-0.850408927,0.019554034
Crocc,-0.458532484,0.01959041
Washc3,-0.910691787,0.019615539
Acot3,-0.962211403,0.019625918
